ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5105143,M,Y,Y,1,90000,Working,Secondary / secondary special,Married,House / apartment,-14263,-2553,1,1,1,0,Laborers,3
5105144,M,Y,Y,1,90000,Working,Secondary / secondary special,Married,House / apartment,-14263,-2553,1,1,1,0,Laborers,3
5512969,M,Y,Y,1,90000,Working,Secondary / secondary special,Married,House / apartment,-14263,-2553,1,1,1,0,Laborers,3
5105145,F,N,Y,0,90000,Working,Higher education,Married,House / apartment,-18940,-1763,1,0,0,0,Sales staff,2
5105146,F,N,Y,0,90000,Working,Higher education,Married,House / apartment,-18940,-1763,1,0,0,0,Sales staff,2
5105147,F,N,Y,0,90000,Working,Higher education,Married,House / apartment,-18940,-1763,1,0,0,0,Sales staff,2
5105150,F,N,Y,0,90000,Working,Higher education,Married,House / apartment,-18940,-1763,1,0,0,0,Sales staff,2
5105156,F,Y,Y,2,112500,Working,Higher education,Married,House / apartment,-13405,-3252,1,0,1,0,Accountants,4
5105158,F,Y,Y,2,112500,Working,Higher education,Married,House / apartment,-13405,-3252,1,0,1,0,Accountants,4
5512971,F,Y,Y,2,112500,Working,Higher education,Married,House / apartment,-13405,-3252,1,0,1,0,Accountants,4
5512972,F,Y,Y,2,112500,Working,Higher education,Married,House / apartment,-13405,-3252,1,0,1,0,Accountants,4
5105159,M,N,Y,2,450000,Commercial associate,Higher education,Married,House / apartment,-12238,-2187,1,1,1,0,Managers,4
5105160,M,N,Y,2,450000,Commercial associate,Higher education,Married,House / apartment,-12238,-2187,1,1,1,0,Managers,4
5105161,M,N,Y,2,450000,Commercial associate,Higher education,Married,House / apartment,-12238,-2187,1,1,1,0,Managers,4
5105162,M,N,Y,2,450000,Commercial associate,Higher education,Married,House / apartment,-12238,-2187,1,1,1,0,Managers,4
5105163,M,N,Y,2,450000,Commercial associate,Higher education,Married,House / apartment,-12238,-2187,1,1,1,0,Managers,4
5105164,M,N,Y,2,450000,Commercial associate,Higher education,Married,House / apartment,-12238,-2187,1,1,1,0,Managers,4
5105165,M,N,Y,2,450000,Commercial associate,Higher education,Married,House / apartment,-12238,-2187,1,1,1,0,Managers,4
5105166,M,N,Y,2,450000,Commercial associate,Higher education,Married,House / apartment,-12238,-2187,1,1,1,0,Managers,4
5105167,M,N,Y,2,450000,Commercial associate,Higher education,Married,House / apartment,-12238,-2187,1,1,1,0,Managers,4
5105168,M,N,Y,2,450000,Commercial associate,Higher education,Married,House / apartment,-12238,-2187,1,1,1,0,Managers,4
5105169,M,N,Y,2,450000,Commercial associate,Higher education,Married,House / apartment,-12238,-2187,1,1,1,0,Managers,4
5105170,M,N,Y,2,450000,Commercial associate,Higher education,Married,House / apartment,-12238,-2187,1,1,1,0,Managers,4
5105171,M,N,Y,2,450000,Commercial associate,Higher education,Married,House / apartment,-12238,-2187,1,1,1,0,Managers,4
5105172,M,N,Y,2,450000,Commercial associate,Higher education,Married,House / apartment,-12238,-2187,1,1,1,0,Managers,4
5105173,M,N,Y,2,450000,Commercial associate,Higher education,Married,House / apartment,-12238,-2187,1,1,1,0,Managers,4
5105178,M,N,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,-16165,-848,1,1,0,0,Laborers,2
5105181,M,N,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,-16165,-848,1,1,0,0,Laborers,2
5105183,M,N,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,-16165,-848,1,1,0,0,Laborers,2
5105184,M,N,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,-16165,-848,1,1,0,0,Laborers,2
5105185,M,N,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,-16165,-848,1,1,0,0,Laborers,2
5105186,M,N,Y,0,315000,Commercial associate,Higher education,Single / not married,House / apartment,-10499,-545,1,0,0,1,Laborers,1
5105187,M,N,Y,0,315000,Commercial associate,Higher education,Single / not married,House / apartment,-10499,-545,1,0,0,1,Laborers,1
5105188,M,N,Y,0,315000,Commercial associate,Higher education,Single / not married,House / apartment,-10499,-545,1,0,0,1,Laborers,1
5105189,M,N,Y,0,315000,Commercial associate,Higher education,Single / not married,House / apartment,-10499,-545,1,0,0,1,Laborers,1
5105190,M,N,Y,0,315000,Commercial associate,Higher education,Single / not married,House / apartment,-10499,-545,1,0,0,1,Laborers,1
5105191,M,N,Y,0,315000,Commercial associate,Higher education,Single / not married,House / apartment,-10499,-545,1,0,0,1,Laborers,1
5105192,M,N,Y,0,315000,Commercial associate,Higher education,Single / not married,House / apartment,-10499,-545,1,0,0,1,Laborers,1
5105193,M,N,Y,0,315000,Commercial associate,Higher education,Single / not married,House / apartment,-10499,-545,1,0,0,1,Laborers,1
5105194,M,N,Y,0,315000,Commercial associate,Higher education,Single / not married,House / apartment,-10499,-545,1,0,0,1,Laborers,1
5105195,M,N,Y,0,315000,Commercial associate,Higher education,Single / not married,House / apartment,-10499,-545,1,0,0,1,Laborers,1
5105196,M,N,Y,0,315000,Commercial associate,Higher education,Single / not married,House / apartment,-10499,-545,1,0,0,1,Laborers,1
5105197,M,N,Y,0,315000,Commercial associate,Higher education,Single / not married,House / apartment,-10499,-545,1,0,0,1,Laborers,1
5105200,M,Y,Y,2,180000,Working,Higher education,Married,House / apartment,-17330,-848,1,0,0,0,Drivers,4
5105205,M,Y,Y,2,180000,Working,Higher education,Married,House / apartment,-17330,-848,1,0,0,0,Drivers,4
5105206,M,Y,Y,2,180000,Working,Higher education,Married,House / apartment,-17330,-848,1,0,0,0,Drivers,4
5105208,F,N,N,0,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,-16017,-1398,1,0,0,0,Laborers,2
5105210,F,N,N,0,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,-16017,-1398,1,0,0,0,Laborers,2
5105211,F,N,N,0,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,-16017,-1398,1,0,0,0,Laborers,2
5105212,F,N,N,0,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,-16017,-1398,1,0,0,0,Laborers,2
5105213,F,N,N,0,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,-16017,-1398,1,0,0,0,Laborers,2
6586899,F,Y,Y,0,279000,Working,Higher education,Married,House / apartment,-9949,-1229,1,0,0,1,IT staff,2
6586900,F,Y,Y,0,279000,Working,Higher education,Married,House / apartment,-9949,-1229,1,0,0,1,IT staff,2
5105217,F,Y,N,1,85500,State servant,Higher education,Married,House / apartment,-10044,-971,1,0,0,1,Accountants,3
5105218,F,Y,N,1,85500,State servant,Higher education,Married,House / apartment,-10044,-971,1,0,0,1,Accountants,3
5105219,M,N,Y,0,135000,Working,Secondary / secondary special,Single / not married,Rented apartment,-8755,-1061,1,0,0,0,Laborers,1
5105220,M,N,Y,0,135000,Working,Secondary / secondary special,Single / not married,Rented apartment,-8755,-1061,1,0,0,0,Laborers,1
5105221,F,Y,Y,1,135000,Working,Secondary / secondary special,Married,House / apartment,-15068,-2067,1,0,0,0,Sales staff,3
5105222,F,Y,Y,1,135000,Working,Secondary / secondary special,Married,House / apartment,-15068,-2067,1,0,0,0,Sales staff,3
5105224,F,Y,Y,1,135000,Working,Secondary / secondary special,Married,House / apartment,-15068,-2067,1,0,0,0,Sales staff,3
5513263,F,Y,Y,1,135000,Working,Secondary / secondary special,Married,House / apartment,-15068,-2067,1,0,0,0,Sales staff,3
5105225,F,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,-17365,-2128,1,0,0,0,Laborers,2
5105226,F,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,-17365,-2128,1,0,0,0,Laborers,2
5105227,F,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,-17365,-2128,1,0,0,0,Laborers,2
5513306,F,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,-17365,-2128,1,0,0,0,Laborers,2
5105230,F,Y,N,1,157500,Working,Higher education,Married,House / apartment,-11900,-2828,1,0,0,0,Laborers,3
5105231,F,Y,N,1,157500,Working,Higher education,Married,House / apartment,-11900,-2828,1,0,0,0,Laborers,3
5105237,F,N,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,-11931,-271,1,1,1,0,Sales staff,2
5105238,F,N,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,-11931,-271,1,1,1,0,Sales staff,2
5105239,M,N,Y,2,180000,Working,Secondary / secondary special,Married,House / apartment,-12998,-392,1,1,0,0,Security staff,4
5105240,M,N,Y,2,180000,Working,Secondary / secondary special,Married,House / apartment,-12998,-392,1,1,0,0,Security staff,4
5105241,F,N,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,-14133,-1214,1,0,0,0,Medicine staff,2
5105242,F,N,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,-14133,-1214,1,0,0,0,Medicine staff,2
5105245,F,N,N,0,207000,Working,Higher education,Married,House / apartment,-14740,-6723,1,0,1,0,Core staff,2
5105246,F,N,N,0,207000,Working,Higher education,Married,House / apartment,-14740,-6723,1,0,1,0,Core staff,2
5105248,F,N,N,0,207000,Working,Higher education,Married,House / apartment,-14740,-6723,1,0,1,0,Core staff,2
5105249,F,N,N,0,207000,Working,Higher education,Married,House / apartment,-14740,-6723,1,0,1,0,Core staff,2
5105250,F,N,N,0,207000,Working,Higher education,Married,House / apartment,-14740,-6723,1,0,1,0,Core staff,2
5105251,F,N,N,0,207000,Working,Higher education,Married,House / apartment,-14740,-6723,1,0,1,0,Core staff,2
5105252,F,N,N,0,207000,Working,Higher education,Married,House / apartment,-14740,-6723,1,0,1,0,Core staff,2
5105253,M,Y,Y,0,81000,Working,Secondary / secondary special,Married,House / apartment,-13527,-1153,1,0,0,0,High skill tech staff,2
5105254,M,Y,Y,0,81000,Working,Secondary / secondary special,Married,House / apartment,-13527,-1153,1,0,0,0,High skill tech staff,2
5105255,M,Y,Y,0,81000,Working,Secondary / secondary special,Married,House / apartment,-13527,-1153,1,0,0,0,High skill tech staff,2
5105256,M,Y,Y,0,81000,Working,Secondary / secondary special,Married,House / apartment,-13527,-1153,1,0,0,0,High skill tech staff,2
5105257,M,Y,Y,0,81000,Working,Secondary / secondary special,Married,House / apartment,-13527,-1153,1,0,0,0,High skill tech staff,2
5105258,M,Y,Y,0,81000,Working,Secondary / secondary special,Married,House / apartment,-13527,-1153,1,0,0,0,High skill tech staff,2
5105259,M,Y,Y,0,81000,Working,Secondary / secondary special,Married,House / apartment,-13527,-1153,1,0,0,0,High skill tech staff,2
5105260,M,N,Y,0,180000,Working,Incomplete higher,Single / not married,House / apartment,-10305,-210,1,0,0,1,Laborers,1
5105261,M,N,Y,0,180000,Working,Incomplete higher,Single / not married,House / apartment,-10305,-210,1,0,0,1,Laborers,1
5105262,M,N,Y,0,180000,Working,Incomplete higher,Single / not married,House / apartment,-10305,-210,1,0,0,1,Laborers,1
5105263,M,N,Y,0,180000,Working,Incomplete higher,Single / not married,House / apartment,-10305,-210,1,0,0,1,Laborers,1
5105264,F,N,Y,2,81000,Working,Secondary / secondary special,Married,House / apartment,-10705,-149,1,0,0,0,Core staff,4
5105265,F,N,Y,2,81000,Working,Secondary / secondary special,Married,House / apartment,-10705,-149,1,0,0,0,Core staff,4
5105266,F,N,Y,2,81000,Working,Secondary / secondary special,Married,House / apartment,-10705,-149,1,0,0,0,Core staff,4
5513477,F,N,Y,2,81000,Working,Secondary / secondary special,Married,House / apartment,-10705,-149,1,0,0,0,Core staff,4
5105280,F,N,Y,1,90000,Working,Secondary / secondary special,Civil marriage,House / apartment,-18682,-514,1,0,1,0,Laborers,3
5105283,M,Y,N,0,225000,Working,Secondary / secondary special,Single / not married,House / apartment,-10866,-636,1,0,0,0,Drivers,1
5105288,M,Y,N,0,225000,Working,Secondary / secondary special,Single / not married,House / apartment,-10866,-636,1,0,0,0,Drivers,1
5105289,M,Y,N,0,225000,Working,Secondary / secondary special,Single / not married,House / apartment,-10866,-636,1,0,0,0,Drivers,1
5105290,F,N,N,0,112500,Working,Secondary / secondary special,Widow,With parents,-10240,-818,1,1,1,0,Core staff,1
