,Unnamed: 0,ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,Unnamed: 0.1,AGE_IN_YEARS,EMPLOYED_IN_YEARS,index2,0,PREDICTION,index1
0,0,5105143.0,M,Y,Y,1.0,90000.0,Working,Secondary / secondary special,Married,House / apartment,14263.0,2553.0,1,1,1,0,Laborers,3.0,,39.0,7.0,0,1,1,0
1,1,5105144.0,M,Y,Y,1.0,90000.0,Working,Secondary / secondary special,Married,House / apartment,14263.0,2553.0,1,1,1,0,Laborers,3.0,,39.0,7.0,1,1,1,1
2,2,5512969.0,M,Y,Y,1.0,90000.0,Working,Secondary / secondary special,Married,House / apartment,14263.0,2553.0,1,1,1,0,Laborers,3.0,,39.0,7.0,2,1,1,2
3,3,5105145.0,F,N,Y,0.0,90000.0,Working,Higher education,Married,House / apartment,18940.0,1763.0,1,0,0,0,Sales staff,2.0,,52.0,5.0,3,0,0,3
4,4,5105146.0,F,N,Y,0.0,90000.0,Working,Higher education,Married,House / apartment,18940.0,1763.0,1,0,0,0,Sales staff,2.0,,52.0,5.0,4,0,0,4
5,5,5105147.0,F,N,Y,0.0,90000.0,Working,Higher education,Married,House / apartment,18940.0,1763.0,1,0,0,0,Sales staff,2.0,,52.0,5.0,5,0,0,5
6,6,5105150.0,F,N,Y,0.0,90000.0,Working,Higher education,Married,House / apartment,18940.0,1763.0,1,0,0,0,Sales staff,2.0,,52.0,5.0,6,0,0,6
7,7,5105156.0,F,Y,Y,2.0,112500.0,Working,Higher education,Married,House / apartment,13405.0,3252.0,1,0,1,0,Accountants,4.0,,37.0,9.0,7,0,0,7
8,8,5105158.0,F,Y,Y,2.0,112500.0,Working,Higher education,Married,House / apartment,13405.0,3252.0,1,0,1,0,Accountants,4.0,,37.0,9.0,8,0,0,8
9,9,5512971.0,F,Y,Y,2.0,112500.0,Working,Higher education,Married,House / apartment,13405.0,3252.0,1,0,1,0,Accountants,4.0,,37.0,9.0,9,0,0,9
10,10,5512972.0,F,Y,Y,2.0,112500.0,Working,Higher education,Married,House / apartment,13405.0,3252.0,1,0,1,0,Accountants,4.0,,37.0,9.0,10,0,0,10
11,11,5105159.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,12238.0,2187.0,1,1,1,0,Managers,4.0,,34.0,6.0,11,1,1,11
12,12,5105160.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,12238.0,2187.0,1,1,1,0,Managers,4.0,,34.0,6.0,12,1,1,12
13,13,5105161.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,12238.0,2187.0,1,1,1,0,Managers,4.0,,34.0,6.0,13,1,1,13
14,14,5105162.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,12238.0,2187.0,1,1,1,0,Managers,4.0,,34.0,6.0,14,1,1,14
15,15,5105163.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,12238.0,2187.0,1,1,1,0,Managers,4.0,,34.0,6.0,15,1,1,15
16,16,5105164.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,12238.0,2187.0,1,1,1,0,Managers,4.0,,34.0,6.0,16,1,1,16
17,17,5105165.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,12238.0,2187.0,1,1,1,0,Managers,4.0,,34.0,6.0,17,1,1,17
18,18,5105166.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,12238.0,2187.0,1,1,1,0,Managers,4.0,,34.0,6.0,18,1,1,18
19,19,5105167.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,12238.0,2187.0,1,1,1,0,Managers,4.0,,34.0,6.0,19,1,1,19
