,ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,Unnamed: 0
0,5105143.0,M,Y,Y,1.0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-14263.0,-2553.0,1,1,1,0,Laborers,3.0,
1,5105144.0,M,Y,Y,1.0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-14263.0,-2553.0,1,1,1,0,Laborers,3.0,
2,5512969.0,M,Y,Y,1.0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-14263.0,-2553.0,1,1,1,0,Laborers,3.0,
3,5105145.0,F,N,Y,0.0,90000.0,Working,Higher education,Married,House / apartment,-18940.0,-1763.0,1,0,0,0,Sales staff,2.0,
4,5105146.0,F,N,Y,0.0,90000.0,Working,Higher education,Married,House / apartment,-18940.0,-1763.0,1,0,0,0,Sales staff,2.0,
5,5105147.0,F,N,Y,0.0,90000.0,Working,Higher education,Married,House / apartment,-18940.0,-1763.0,1,0,0,0,Sales staff,2.0,
6,5105150.0,F,N,Y,0.0,90000.0,Working,Higher education,Married,House / apartment,-18940.0,-1763.0,1,0,0,0,Sales staff,2.0,
7,5105156.0,F,Y,Y,2.0,112500.0,Working,Higher education,Married,House / apartment,-13405.0,-3252.0,1,0,1,0,Accountants,4.0,
8,5105158.0,F,Y,Y,2.0,112500.0,Working,Higher education,Married,House / apartment,-13405.0,-3252.0,1,0,1,0,Accountants,4.0,
9,5512971.0,F,Y,Y,2.0,112500.0,Working,Higher education,Married,House / apartment,-13405.0,-3252.0,1,0,1,0,Accountants,4.0,
10,5512972.0,F,Y,Y,2.0,112500.0,Working,Higher education,Married,House / apartment,-13405.0,-3252.0,1,0,1,0,Accountants,4.0,
11,5105159.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,-12238.0,-2187.0,1,1,1,0,Managers,4.0,
12,5105160.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,-12238.0,-2187.0,1,1,1,0,Managers,4.0,
13,5105161.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,-12238.0,-2187.0,1,1,1,0,Managers,4.0,
14,5105162.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,-12238.0,-2187.0,1,1,1,0,Managers,4.0,
15,5105163.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,-12238.0,-2187.0,1,1,1,0,Managers,4.0,
16,5105164.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,-12238.0,-2187.0,1,1,1,0,Managers,4.0,
17,5105165.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,-12238.0,-2187.0,1,1,1,0,Managers,4.0,
18,5105166.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,-12238.0,-2187.0,1,1,1,0,Managers,4.0,
19,5105167.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,-12238.0,-2187.0,1,1,1,0,Managers,4.0,
20,5105168.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,-12238.0,-2187.0,1,1,1,0,Managers,4.0,
21,5105169.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,-12238.0,-2187.0,1,1,1,0,Managers,4.0,
22,5105170.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,-12238.0,-2187.0,1,1,1,0,Managers,4.0,
